,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KPDT,Pendleton,1641027180,1641034380,N,-4.0,-7.0,87.0,E,,8.0,28.65,0.0,Fair,PDT,2022-01-01 08:53:00,2022-01-01 10:53:00
1,KPDT,Pendleton,1641030780,1641037980,N,-3.0,-7.0,82.0,E,,8.0,28.66,0.0,Fair,PDT,2022-01-01 09:53:00,2022-01-01 11:53:00
2,KPDT,Pendleton,1641034380,1641041580,N,-2.0,-7.0,79.0,E,,8.0,28.67,0.0,Fair,PDT,2022-01-01 10:53:00,2022-01-01 12:53:00
3,KPDT,Pendleton,1641037980,1641045180,N,-3.0,-8.0,79.0,SE,,7.0,28.67,0.0,Fair,PDT,2022-01-01 11:53:00,2022-01-01 13:53:00
4,KPDT,Pendleton,1641041580,1641048780,N,-4.0,-9.0,79.0,E,,8.0,28.67,0.0,Fair,PDT,2022-01-01 12:53:00,2022-01-01 14:53:00
5,KPDT,Pendleton,1641045180,1641052380,N,-2.0,-7.0,79.0,ESE,,8.0,28.66,0.0,Fair,PDT,2022-01-01 13:53:00,2022-01-01 15:53:00
6,KPDT,Pendleton,1641048780,1641055980,N,0.0,-5.0,79.0,S,,3.0,28.67,0.0,Fair,PDT,2022-01-01 14:53:00,2022-01-01 16:53:00
7,KPDT,Pendleton,1641052380,1641059580,D,4.0,-3.0,73.0,CALM,,0.0,28.69,0.0,Fair,PDT,2022-01-01 15:53:00,2022-01-01 17:53:00
8,KPDT,Pendleton,1641055980,1641063180,D,-1.0,-6.0,79.0,SE,,7.0,28.71,0.0,Fair,PDT,2022-01-01 16:53:00,2022-01-01 18:53:00
9,KPDT,Pendleton,1641059580,1641066780,D,4.0,-2.0,76.0,SE,,6.0,28.71,0.0,Partly Cloudy,PDT,2022-01-01 17:53:00,2022-01-01 19:53:00
10,KPDT,Pendleton,1641063180,1641070380,D,10.0,3.0,73.0,E,,3.0,28.69,0.0,Partly Cloudy,PDT,2022-01-01 18:53:00,2022-01-01 20:53:00
11,KPDT,Pendleton,1641066780,1641073980,D,12.0,4.0,70.0,CALM,,0.0,28.68,0.0,Mostly Cloudy,PDT,2022-01-01 19:53:00,2022-01-01 21:53:00
12,KPDT,Pendleton,1641070380,1641077580,D,12.0,5.0,73.0,S,,6.0,28.67,0.0,Partly Cloudy,PDT,2022-01-01 20:53:00,2022-01-01 22:53:00
13,KPDT,Pendleton,1641073980,1641081180,D,16.0,5.0,62.0,CALM,,0.0,28.65,0.0,Fair,PDT,2022-01-01 21:53:00,2022-01-01 23:53:00
14,KPDT,Pendleton,1641077580,1641084780,D,12.0,4.0,70.0,NW,,3.0,28.66,0.0,Fair,PDT,2022-01-01 22:53:00,2022-01-02 00:53:00
15,KPDT,Pendleton,1641081180,1641088380,D,11.0,5.0,77.0,NW,,5.0,28.65,0.0,Mostly Cloudy,PDT,2022-01-01 23:53:00,2022-01-02 01:53:00
16,KPDT,Pendleton,1641084780,1641091980,N,11.0,5.0,77.0,CALM,,0.0,28.65,0.0,Fair,PDT,2022-01-02 00:53:00,2022-01-02 02:53:00
17,KPDT,Pendleton,1641088380,1641095580,N,11.0,5.0,77.0,CALM,,0.0,28.65,0.0,Fair,PDT,2022-01-02 01:53:00,2022-01-02 03:53:00
18,KPDT,Pendleton,1641091980,1641099180,N,11.0,5.0,77.0,CALM,,0.0,28.64,0.0,Fair,PDT,2022-01-02 02:53:00,2022-01-02 04:53:00
19,KPDT,Pendleton,1641095580,1641102780,N,8.0,4.0,83.0,NNW,,5.0,28.64,0.0,Fair,PDT,2022-01-02 03:53:00,2022-01-02 05:53:00
20,KPDT,Pendleton,1641099180,1641106380,N,8.0,4.0,83.0,CALM,,0.0,28.63,0.0,Fair,PDT,2022-01-02 04:53:00,2022-01-02 06:53:00
21,KPDT,Pendleton,1641102780,1641109980,N,4.0,1.0,88.0,CALM,,0.0,28.63,0.0,Fair,PDT,2022-01-02 05:53:00,2022-01-02 07:53:00
22,KPDT,Pendleton,1641106380,1641113580,N,6.0,3.0,87.0,,,,28.62,0.0,Fair,PDT,2022-01-02 06:53:00,2022-01-02 08:53:00
23,KPDT,Pendleton,1641109980,1641117180,N,7.0,3.0,84.0,CALM,,0.0,28.59,0.0,Fair,PDT,2022-01-02 07:53:00,2022-01-02 09:53:00
24,KPDT,Pendleton,1641113580,1641120780,N,7.0,3.0,84.0,,,,28.57,0.0,Fair,PDT,2022-01-02 08:53:00,2022-01-02 10:53:00
25,KPDT,Pendleton,1641117180,1641124380,N,9.0,5.0,84.0,NW,,6.0,28.55,0.0,Fair,PDT,2022-01-02 09:53:00,2022-01-02 11:53:00
26,KPDT,Pendleton,1641120780,1641127980,N,10.0,6.0,84.0,WNW,,15.0,28.55,0.0,Fair,PDT,2022-01-02 10:53:00,2022-01-02 12:53:00
27,KPDT,Pendleton,1641124380,1641131580,N,9.0,6.0,88.0,NW,,7.0,28.54,0.0,Fair,PDT,2022-01-02 11:53:00,2022-01-02 13:53:00
28,KPDT,Pendleton,1641127980,1641135180,N,10.0,6.0,84.0,NW,,7.0,28.53,0.0,Fair,PDT,2022-01-02 12:53:00,2022-01-02 14:53:00
29,KPDT,Pendleton,1641131580,1641138780,N,10.0,6.0,84.0,SSE,,6.0,28.5,0.0,Fair,PDT,2022-01-02 13:53:00,2022-01-02 15:53:00
30,KPDT,Pendleton,1641135180,1641142380,N,9.0,6.0,88.0,CALM,,0.0,28.49,0.0,Fair,PDT,2022-01-02 14:53:00,2022-01-02 16:53:00
31,KPDT,Pendleton,1641138780,1641145980,D,10.0,6.0,84.0,NNW,,3.0,28.48,0.0,Fair,PDT,2022-01-02 15:53:00,2022-01-02 17:53:00
32,KPDT,Pendleton,1641142380,1641149580,D,10.0,7.0,87.0,NW,,12.0,28.49,0.0,Fair,PDT,2022-01-02 16:53:00,2022-01-02 18:53:00
33,KPDT,Pendleton,1641145980,1641153180,D,11.0,9.0,92.0,NW,,9.0,28.47,0.0,Fair,PDT,2022-01-02 17:53:00,2022-01-02 19:53:00
34,KPDT,Pendleton,1641149580,1641156780,D,13.0,10.0,88.0,NW,,9.0,28.45,0.0,Fair,PDT,2022-01-02 18:53:00,2022-01-02 20:53:00
35,KPDT,Pendleton,1641153180,1641160380,D,13.0,10.0,88.0,NW,,9.0,28.42,0.0,Fair,PDT,2022-01-02 19:53:00,2022-01-02 21:53:00
36,KPDT,Pendleton,1641156780,1641163980,D,14.0,11.0,88.0,NW,,8.0,28.39,0.0,Fair,PDT,2022-01-02 20:53:00,2022-01-02 22:53:00
37,KPDT,Pendleton,1641160380,1641167580,D,16.0,12.0,84.0,WNW,,9.0,28.37,0.0,Fair,PDT,2022-01-02 21:53:00,2022-01-02 23:53:00
38,KPDT,Pendleton,1641163980,1641171180,D,16.0,12.0,84.0,NW,,5.0,28.36,0.0,Fair,PDT,2022-01-02 22:53:00,2022-01-03 00:53:00
39,KPDT,Pendleton,1641167580,1641174780,D,16.0,11.0,81.0,ENE,,8.0,28.34,0.0,Fair,PDT,2022-01-02 23:53:00,2022-01-03 01:53:00
40,KPDT,Pendleton,1641171180,1641178380,N,23.0,14.0,68.0,E,,13.0,28.31,0.0,Fair,PDT,2022-01-03 00:53:00,2022-01-03 02:53:00
41,KPDT,Pendleton,1641174780,1641181980,N,30.0,16.0,56.0,ESE,,3.0,28.29,0.0,Fair,PDT,2022-01-03 01:53:00,2022-01-03 03:53:00
42,KPDT,Pendleton,1641178380,1641185580,N,35.0,18.0,50.0,SE,17.0,8.0,28.26,0.0,Fair,PDT,2022-01-03 02:53:00,2022-01-03 04:53:00
43,KPDT,Pendleton,1641181980,1641189180,N,36.0,19.0,50.0,S,18.0,12.0,28.23,0.0,Fair,PDT,2022-01-03 03:53:00,2022-01-03 05:53:00
44,KPDT,Pendleton,1641185580,1641192780,N,39.0,21.0,49.0,S,38.0,23.0,28.19,0.0,Fair / Windy,PDT,2022-01-03 04:53:00,2022-01-03 06:53:00
45,KPDT,Pendleton,1641189180,1641196380,N,37.0,20.0,50.0,S,40.0,29.0,28.19,0.0,Fair / Windy,PDT,2022-01-03 05:53:00,2022-01-03 07:53:00
46,KPDT,Pendleton,1641192780,1641199980,N,39.0,21.0,49.0,S,33.0,22.0,28.17,0.0,Fair / Windy,PDT,2022-01-03 06:53:00,2022-01-03 08:53:00
47,KPDT,Pendleton,1641196380,1641203580,N,40.0,20.0,45.0,S,44.0,24.0,28.12,0.0,Fair / Windy,PDT,2022-01-03 07:53:00,2022-01-03 09:53:00
48,KPDT,Pendleton,1641199980,1641207180,N,41.0,21.0,45.0,SSE,47.0,29.0,28.1,0.0,Light Rain / Windy,PDT,2022-01-03 08:53:00,2022-01-03 10:53:00
49,KPDT,Pendleton,1641203580,1641210780,N,39.0,21.0,49.0,SSE,44.0,31.0,28.06,0.0,Fair / Windy,PDT,2022-01-03 09:53:00,2022-01-03 11:53:00
50,KPDT,Pendleton,1641207180,1641214380,N,39.0,21.0,49.0,SSE,35.0,18.0,28.06,0.0,Partly Cloudy,PDT,2022-01-03 10:53:00,2022-01-03 12:53:00
51,KPDT,Pendleton,1641210780,1641217980,N,40.0,21.0,47.0,SSE,26.0,17.0,28.02,0.0,Cloudy,PDT,2022-01-03 11:53:00,2022-01-03 13:53:00
52,KPDT,Pendleton,1641214380,1641221580,N,41.0,21.0,45.0,ESE,22.0,12.0,27.98,0.0,Cloudy,PDT,2022-01-03 12:53:00,2022-01-03 14:53:00
53,KPDT,Pendleton,1641217980,1641225180,N,43.0,24.0,47.0,S,37.0,26.0,27.92,0.0,Fair / Windy,PDT,2022-01-03 13:53:00,2022-01-03 15:53:00
54,KPDT,Pendleton,1641221580,1641228780,N,43.0,25.0,49.0,S,40.0,25.0,27.91,0.0,Partly Cloudy / Windy,PDT,2022-01-03 14:53:00,2022-01-03 16:53:00
55,KPDT,Pendleton,1641225180,1641232380,D,43.0,26.0,51.0,SSW,36.0,25.0,27.93,0.0,Cloudy / Windy,PDT,2022-01-03 15:53:00,2022-01-03 17:53:00
56,KPDT,Pendleton,1641228780,1641235980,D,44.0,27.0,51.0,SSW,29.0,20.0,27.95,0.0,Cloudy,PDT,2022-01-03 16:53:00,2022-01-03 18:53:00
57,KPDT,Pendleton,1641230940,1641238140,D,37.0,29.0,73.0,WNW,33.0,25.0,28.01,0.0,Cloudy / Windy,PDT,2022-01-03 17:29:00,2022-01-03 19:29:00
58,KPDT,Pendleton,1641232200,1641239400,D,34.0,32.0,93.0,WNW,,23.0,28.03,0.01,Light Snow / Windy,PDT,2022-01-03 17:50:00,2022-01-03 19:50:00
59,KPDT,Pendleton,1641232380,1641239580,D,34.0,32.0,92.0,WNW,,22.0,28.02,0.01,Light Snow / Windy,PDT,2022-01-03 17:53:00,2022-01-03 19:53:00
60,KPDT,Pendleton,1641232620,1641239820,D,33.0,32.0,96.0,WNW,,20.0,28.02,0.01,Light Snow,PDT,2022-01-03 17:57:00,2022-01-03 19:57:00
61,KPDT,Pendleton,1641232800,1641240000,D,33.0,32.0,96.0,WNW,,20.0,28.02,0.01,Light Snow,PDT,2022-01-03 18:00:00,2022-01-03 20:00:00
62,KPDT,Pendleton,1641233760,1641240960,D,33.0,32.0,96.0,WNW,,21.0,28.02,0.02,Light Rain / Windy,PDT,2022-01-03 18:16:00,2022-01-03 20:16:00
63,KPDT,Pendleton,1641234300,1641241500,D,32.0,32.0,100.0,NW,,18.0,28.02,0.03,Wintry Mix,PDT,2022-01-03 18:25:00,2022-01-03 20:25:00
64,KPDT,Pendleton,1641234780,1641241980,D,32.0,32.0,100.0,NW,,18.0,28.02,0.04,Wintry Mix,PDT,2022-01-03 18:33:00,2022-01-03 20:33:00
65,KPDT,Pendleton,1641235320,1641242520,D,33.0,32.0,96.0,NW,,17.0,28.03,0.05,Wintry Mix,PDT,2022-01-03 18:42:00,2022-01-03 20:42:00
66,KPDT,Pendleton,1641235740,1641242940,D,34.0,32.0,93.0,NW,,16.0,28.03,0.05,Light Rain,PDT,2022-01-03 18:49:00,2022-01-03 20:49:00
67,KPDT,Pendleton,1641235980,1641243180,D,33.0,32.0,96.0,NW,,9.0,28.03,0.06,Light Rain,PDT,2022-01-03 18:53:00,2022-01-03 20:53:00
68,KPDT,Pendleton,1641236400,1641243600,D,33.0,33.0,100.0,,,,28.04,0.0,Rain,PDT,2022-01-03 19:00:00,2022-01-03 21:00:00
69,KPDT,Pendleton,1641236820,1641244020,D,33.0,32.0,96.0,ESE,,6.0,28.04,0.01,Light Rain,PDT,2022-01-03 19:07:00,2022-01-03 21:07:00
70,KPDT,Pendleton,1641237540,1641244740,D,34.0,33.0,96.0,VAR,,6.0,28.04,0.02,Light Snow,PDT,2022-01-03 19:19:00,2022-01-03 21:19:00
71,KPDT,Pendleton,1641238200,1641245400,D,34.0,32.0,92.0,WSW,16.0,8.0,28.04,0.05,Light Snow,PDT,2022-01-03 19:30:00,2022-01-03 21:30:00
72,KPDT,Pendleton,1641238740,1641245940,D,34.0,32.0,92.0,W,,5.0,28.03,0.07,Snow,PDT,2022-01-03 19:39:00,2022-01-03 21:39:00
73,KPDT,Pendleton,1641239460,1641246660,D,34.0,32.0,93.0,ESE,,5.0,28.03,0.12,Heavy Snow,PDT,2022-01-03 19:51:00,2022-01-03 21:51:00
74,KPDT,Pendleton,1641239580,1641246780,D,33.0,32.0,96.0,E,,5.0,28.03,0.12,Heavy Snow,PDT,2022-01-03 19:53:00,2022-01-03 21:53:00
75,KPDT,Pendleton,1641240480,1641247680,D,33.0,32.0,96.0,E,,7.0,28.03,0.06,Heavy Snow,PDT,2022-01-03 20:08:00,2022-01-03 22:08:00
76,KPDT,Pendleton,1641241500,1641248700,D,32.0,32.0,100.0,E,,12.0,28.01,0.11,Heavy Snow,PDT,2022-01-03 20:25:00,2022-01-03 22:25:00
77,KPDT,Pendleton,1641242040,1641249240,D,32.0,32.0,100.0,ESE,,12.0,28.0,0.15,Snow,PDT,2022-01-03 20:34:00,2022-01-03 22:34:00
78,KPDT,Pendleton,1641242340,1641249540,D,32.0,32.0,100.0,ESE,,9.0,28.01,0.16,Snow,PDT,2022-01-03 20:39:00,2022-01-03 22:39:00
79,KPDT,Pendleton,1641242760,1641249960,D,32.0,32.0,100.0,SE,,12.0,28.01,0.17,Heavy Snow,PDT,2022-01-03 20:46:00,2022-01-03 22:46:00
80,KPDT,Pendleton,1641243180,1641250380,D,32.0,32.0,100.0,SE,,8.0,28.02,0.19,Heavy Snow,PDT,2022-01-03 20:53:00,2022-01-03 22:53:00
81,KPDT,Pendleton,1641244740,1641251940,D,32.0,32.0,100.0,SSE,,3.0,28.02,0.07,Heavy Snow,PDT,2022-01-03 21:19:00,2022-01-03 23:19:00
82,KPDT,Pendleton,1641245520,1641252720,D,32.0,31.0,96.0,SE,,7.0,28.01,0.1,Heavy Snow,PDT,2022-01-03 21:32:00,2022-01-03 23:32:00
83,KPDT,Pendleton,1641246300,1641253500,D,32.0,32.0,100.0,SSE,,8.0,28.02,0.12,Heavy Snow,PDT,2022-01-03 21:45:00,2022-01-03 23:45:00
84,KPDT,Pendleton,1641246780,1641253980,D,32.0,31.0,96.0,S,,7.0,28.02,0.14,Snow,PDT,2022-01-03 21:53:00,2022-01-03 23:53:00
85,KPDT,Pendleton,1641247740,1641254940,D,32.0,31.0,96.0,S,,8.0,28.04,0.01,Light Snow,PDT,2022-01-03 22:09:00,2022-01-04 00:09:00
86,KPDT,Pendleton,1641250020,1641257220,D,32.0,32.0,100.0,SSE,,12.0,28.01,0.07,Snow,PDT,2022-01-03 22:47:00,2022-01-04 00:47:00
87,KPDT,Pendleton,1641250200,1641257400,D,32.0,32.0,100.0,SSE,,10.0,28.02,0.07,Light Snow,PDT,2022-01-03 22:50:00,2022-01-04 00:50:00
88,KPDT,Pendleton,1641250380,1641257580,D,32.0,32.0,100.0,SSE,,12.0,28.02,0.07,Light Snow,PDT,2022-01-03 22:53:00,2022-01-04 00:53:00
89,KPDT,Pendleton,1641251400,1641258600,D,32.0,32.0,100.0,SSE,,10.0,28.02,0.0,Unknown Precipitation,PDT,2022-01-03 23:10:00,2022-01-04 01:10:00
90,KPDT,Pendleton,1641251880,1641259080,D,32.0,32.0,100.0,S,,9.0,28.02,0.0,Light Snow,PDT,2022-01-03 23:18:00,2022-01-04 01:18:00
91,KPDT,Pendleton,1641252720,1641259920,D,32.0,32.0,100.0,SSE,,9.0,28.02,0.02,Unknown Precipitation,PDT,2022-01-03 23:32:00,2022-01-04 01:32:00
92,KPDT,Pendleton,1641253260,1641260460,D,33.0,32.0,96.0,SSE,,9.0,28.03,0.03,Wintry Mix,PDT,2022-01-03 23:41:00,2022-01-04 01:41:00
93,KPDT,Pendleton,1641253380,1641260580,D,32.0,32.0,100.0,SSE,,9.0,28.02,0.03,Wintry Mix,PDT,2022-01-03 23:43:00,2022-01-04 01:43:00
94,KPDT,Pendleton,1641253620,1641260820,D,32.0,32.0,100.0,SSE,,9.0,28.02,0.04,Wintry Mix,PDT,2022-01-03 23:47:00,2022-01-04 01:47:00
95,KPDT,Pendleton,1641253800,1641261000,D,32.0,32.0,100.0,SSE,,9.0,28.01,0.04,Unknown Precipitation,PDT,2022-01-03 23:50:00,2022-01-04 01:50:00
96,KPDT,Pendleton,1641253980,1641261180,D,32.0,32.0,100.0,SE,,9.0,28.02,0.04,Unknown Precipitation,PDT,2022-01-03 23:53:00,2022-01-04 01:53:00
97,KPDT,Pendleton,1641254400,1641261600,D,33.0,32.0,96.0,SSE,,7.0,28.02,0.0,Wintry Mix,PDT,2022-01-04 00:00:00,2022-01-04 02:00:00
98,KPDT,Pendleton,1641254580,1641261780,D,33.0,32.0,96.0,SE,,8.0,28.02,0.0,Wintry Mix,PDT,2022-01-04 00:03:00,2022-01-04 02:03:00
99,KPDT,Pendleton,1641255900,1641263100,N,33.0,32.0,96.0,SW,,5.0,28.05,0.02,Light Rain,PDT,2022-01-04 00:25:00,2022-01-04 02:25:00
100,KPDT,Pendleton,1641256620,1641263820,N,33.0,32.0,96.0,SSE,,6.0,28.05,0.02,Light Rain,PDT,2022-01-04 00:37:00,2022-01-04 02:37:00
101,KPDT,Pendleton,1641257580,1641264780,N,34.0,33.0,96.0,SSE,,3.0,28.05,0.02,Cloudy,PDT,2022-01-04 00:53:00,2022-01-04 02:53:00
102,KPDT,Pendleton,1641258420,1641265620,N,34.0,32.0,92.0,WSW,,6.0,28.06,0.0,Cloudy,PDT,2022-01-04 01:07:00,2022-01-04 03:07:00
103,KPDT,Pendleton,1641258900,1641266100,N,34.0,32.0,92.0,S,,6.0,28.07,0.0,Cloudy,PDT,2022-01-04 01:15:00,2022-01-04 03:15:00
104,KPDT,Pendleton,1641261180,1641268380,N,33.0,32.0,96.0,S,,8.0,28.06,0.0,Cloudy,PDT,2022-01-04 01:53:00,2022-01-04 03:53:00
105,KPDT,Pendleton,1641261660,1641268860,N,33.0,32.0,96.0,SSE,,7.0,28.06,0.0,Cloudy,PDT,2022-01-04 02:01:00,2022-01-04 04:01:00
106,KPDT,Pendleton,1641262260,1641269460,N,33.0,32.0,96.0,SSE,,7.0,28.06,0.0,Cloudy,PDT,2022-01-04 02:11:00,2022-01-04 04:11:00
107,KPDT,Pendleton,1641263580,1641270780,N,33.0,32.0,96.0,S,,8.0,28.07,0.0,Cloudy,PDT,2022-01-04 02:33:00,2022-01-04 04:33:00
108,KPDT,Pendleton,1641264780,1641271980,N,34.0,32.0,92.0,S,,7.0,28.09,0.0,Cloudy,PDT,2022-01-04 02:53:00,2022-01-04 04:53:00
109,KPDT,Pendleton,1641265620,1641272820,N,34.0,32.0,92.0,S,,8.0,28.09,0.0,Cloudy,PDT,2022-01-04 03:07:00,2022-01-04 05:07:00
110,KPDT,Pendleton,1641268380,1641275580,N,34.0,32.0,92.0,SSW,,3.0,28.12,0.0,Light Rain,PDT,2022-01-04 03:53:00,2022-01-04 05:53:00
111,KPDT,Pendleton,1641271980,1641279180,N,33.0,31.0,92.0,NNE,,3.0,28.12,0.0,Fair,PDT,2022-01-04 04:53:00,2022-01-04 06:53:00
112,KPDT,Pendleton,1641274440,1641281640,N,33.0,32.0,96.0,SSE,,8.0,28.15,0.0,Cloudy,PDT,2022-01-04 05:34:00,2022-01-04 07:34:00
113,KPDT,Pendleton,1641275580,1641282780,N,33.0,32.0,96.0,SSW,,5.0,28.16,0.0,Cloudy,PDT,2022-01-04 05:53:00,2022-01-04 07:53:00
114,KPDT,Pendleton,1641279180,1641286380,N,33.0,29.0,85.0,WSW,,10.0,28.19,0.0,Partly Cloudy,PDT,2022-01-04 06:53:00,2022-01-04 08:53:00
115,KPDT,Pendleton,1641282780,1641289980,N,30.0,26.0,85.0,SSW,,7.0,28.21,0.0,Fair,PDT,2022-01-04 07:53:00,2022-01-04 09:53:00
116,KPDT,Pendleton,1641286380,1641293580,N,33.0,28.0,82.0,E,,3.0,28.26,0.0,Fair,PDT,2022-01-04 08:53:00,2022-01-04 10:53:00
117,KPDT,Pendleton,1641289980,1641297180,N,30.0,25.0,82.0,VAR,,3.0,28.31,0.0,Fair,PDT,2022-01-04 09:53:00,2022-01-04 11:53:00
118,KPDT,Pendleton,1641293580,1641300780,N,34.0,26.0,73.0,CALM,,0.0,28.35,0.0,Fair,PDT,2022-01-04 10:53:00,2022-01-04 12:53:00
119,KPDT,Pendleton,1641297180,1641304380,N,33.0,25.0,72.0,SE,,8.0,28.36,0.0,Fair,PDT,2022-01-04 11:53:00,2022-01-04 13:53:00
120,KPDT,Pendleton,1641300780,1641307980,N,31.0,25.0,79.0,S,,7.0,28.38,0.0,Fair,PDT,2022-01-04 12:53:00,2022-01-04 14:53:00
121,KPDT,Pendleton,1641304380,1641311580,N,30.0,25.0,82.0,S,,10.0,28.4,0.0,Fair,PDT,2022-01-04 13:53:00,2022-01-04 15:53:00
122,KPDT,Pendleton,1641307980,1641315180,N,30.0,24.0,79.0,S,,10.0,28.41,0.0,Fair,PDT,2022-01-04 14:53:00,2022-01-04 16:53:00
123,KPDT,Pendleton,1641311580,1641318780,D,31.0,24.0,76.0,S,,9.0,28.43,0.0,Fair,PDT,2022-01-04 15:53:00,2022-01-04 17:53:00
124,KPDT,Pendleton,1641315180,1641322380,D,33.0,24.0,70.0,S,,6.0,28.44,0.0,Fair,PDT,2022-01-04 16:53:00,2022-01-04 18:53:00
125,KPDT,Pendleton,1641318780,1641325980,D,34.0,26.0,73.0,SSE,,7.0,28.46,0.0,Mostly Cloudy,PDT,2022-01-04 17:53:00,2022-01-04 19:53:00
126,KPDT,Pendleton,1641322380,1641329580,D,36.0,27.0,70.0,S,,7.0,28.47,0.0,Mostly Cloudy,PDT,2022-01-04 18:53:00,2022-01-04 20:53:00
127,KPDT,Pendleton,1641325980,1641333180,D,36.0,29.0,76.0,SSE,,7.0,28.46,0.0,Mostly Cloudy,PDT,2022-01-04 19:53:00,2022-01-04 21:53:00
128,KPDT,Pendleton,1641329580,1641336780,D,37.0,29.0,73.0,S,,6.0,28.46,0.0,Cloudy,PDT,2022-01-04 20:53:00,2022-01-04 22:53:00
129,KPDT,Pendleton,1641333180,1641340380,D,38.0,30.0,73.0,SSW,,7.0,28.47,0.0,Light Rain,PDT,2022-01-04 21:53:00,2022-01-04 23:53:00
130,KPDT,Pendleton,1641336780,1641343980,D,37.0,31.0,79.0,S,,5.0,28.45,0.0,Cloudy,PDT,2022-01-04 22:53:00,2022-01-05 00:53:00
131,KPDT,Pendleton,1641340380,1641347580,D,37.0,31.0,79.0,SW,,3.0,28.45,0.0,Cloudy,PDT,2022-01-04 23:53:00,2022-01-05 01:53:00
132,KPDT,Pendleton,1641343980,1641351180,N,36.0,32.0,86.0,S,,9.0,28.45,0.0,Light Rain,PDT,2022-01-05 00:53:00,2022-01-05 02:53:00
133,KPDT,Pendleton,1641347280,1641354480,N,34.0,32.0,93.0,ESE,,8.0,28.42,0.01,Light Rain,PDT,2022-01-05 01:48:00,2022-01-05 03:48:00
134,KPDT,Pendleton,1641347580,1641354780,N,34.0,32.0,92.0,ESE,,8.0,28.42,0.01,Cloudy,PDT,2022-01-05 01:53:00,2022-01-05 03:53:00
135,KPDT,Pendleton,1641348000,1641355200,N,34.0,32.0,92.0,ESE,,8.0,28.41,0.0,Cloudy,PDT,2022-01-05 02:00:00,2022-01-05 04:00:00
136,KPDT,Pendleton,1641351180,1641358380,N,35.0,33.0,92.0,E,,8.0,28.39,0.0,Light Rain,PDT,2022-01-05 02:53:00,2022-01-05 04:53:00
137,KPDT,Pendleton,1641354780,1641361980,N,34.0,33.0,96.0,SSE,,5.0,28.37,0.01,Light Rain,PDT,2022-01-05 03:53:00,2022-01-05 05:53:00
138,KPDT,Pendleton,1641356940,1641364140,N,35.0,33.0,92.0,SE,,8.0,28.36,0.0,Light Rain,PDT,2022-01-05 04:29:00,2022-01-05 06:29:00
139,KPDT,Pendleton,1641358380,1641365580,N,35.0,33.0,92.0,SE,,6.0,28.35,0.0,Cloudy,PDT,2022-01-05 04:53:00,2022-01-05 06:53:00
140,KPDT,Pendleton,1641358800,1641366000,N,35.0,33.0,92.0,SE,,5.0,28.35,0.0,Cloudy,PDT,2022-01-05 05:00:00,2022-01-05 07:00:00
141,KPDT,Pendleton,1641360600,1641367800,N,33.0,33.0,100.0,SSE,,8.0,28.34,0.01,Light Rain,PDT,2022-01-05 05:30:00,2022-01-05 07:30:00
142,KPDT,Pendleton,1641361080,1641368280,N,34.0,33.0,96.0,SSE,,7.0,28.34,0.01,Light Rain,PDT,2022-01-05 05:38:00,2022-01-05 07:38:00
143,KPDT,Pendleton,1641361260,1641368460,N,34.0,33.0,96.0,SSE,,7.0,28.34,0.01,Light Rain,PDT,2022-01-05 05:41:00,2022-01-05 07:41:00
144,KPDT,Pendleton,1641361380,1641368580,N,34.0,33.0,96.0,SSE,,7.0,28.34,0.01,Light Rain,PDT,2022-01-05 05:43:00,2022-01-05 07:43:00
145,KPDT,Pendleton,1641361980,1641369180,N,35.0,34.0,96.0,S,,6.0,28.33,0.02,Light Rain,PDT,2022-01-05 05:53:00,2022-01-05 07:53:00
146,KPDT,Pendleton,1641365580,1641372780,N,37.0,35.0,93.0,S,,3.0,28.31,0.04,Light Rain,PDT,2022-01-05 06:53:00,2022-01-05 08:53:00
147,KPDT,Pendleton,1641369180,1641376380,N,37.0,35.0,93.0,CALM,,0.0,28.3,0.01,Light Rain,PDT,2022-01-05 07:53:00,2022-01-05 09:53:00
148,KPDT,Pendleton,1641372300,1641379500,N,34.0,34.0,100.0,NNE,,5.0,28.31,0.01,Wintry Mix,PDT,2022-01-05 08:45:00,2022-01-05 10:45:00
149,KPDT,Pendleton,1641372780,1641379980,N,35.0,34.0,96.0,N,,5.0,28.31,0.01,Wintry Mix,PDT,2022-01-05 08:53:00,2022-01-05 10:53:00
150,KPDT,Pendleton,1641373200,1641380400,N,34.0,34.0,100.0,NW,,3.0,28.32,0.0,Cloudy,PDT,2022-01-05 09:00:00,2022-01-05 11:00:00
151,KPDT,Pendleton,1641373560,1641380760,N,34.0,34.0,100.0,WNW,,3.0,28.33,0.0,Fog,PDT,2022-01-05 09:06:00,2022-01-05 11:06:00
152,KPDT,Pendleton,1641373860,1641381060,N,34.0,33.0,96.0,W,,3.0,28.33,0.0,Fog,PDT,2022-01-05 09:11:00,2022-01-05 11:11:00
153,KPDT,Pendleton,1641374460,1641381660,N,34.0,34.0,100.0,W,,5.0,28.33,0.0,Wintry Mix,PDT,2022-01-05 09:21:00,2022-01-05 11:21:00
154,KPDT,Pendleton,1641374940,1641382140,N,34.0,34.0,100.0,W,,7.0,28.34,0.0,Wintry Mix,PDT,2022-01-05 09:29:00,2022-01-05 11:29:00
